Name,URL,Price,Rating,Number of Reviews
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RA-2lsoQ1oYR96kWqAZe7HgAAAGKG_plawMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICA2lSez/https://www.amazon.in/stores/page/8C12A028-61F9-416E-94EA-662168D67A5A/?_encoding=UTF8&store_ref=SB_A00003402V7RRXUZ03YFA&pd_rd_plhdr=t&aaxitk=a5d98050fc0506f9d1e07caaa0cd3278&hsa_cr_id=0&lp_asins=B0CB8B1KMW%2CB084Z2LYDR%2CB0BQ7C1G23&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_sccd_bkgd&pd_rd_w=zzGcy&content-id=amzn1.sym.df9fe057-524b-4172-ac34-9a1b3c4e647d%3Aamzn1.sym.df9fe057-524b-4172-ac34-9a1b3c4e647d&pf_rd_p=df9fe057-524b-4172-ac34-9a1b3c4e647d&pf_rd_r=RN01R3J3Q78BAVMAC18B&pd_rd_wg=UpaNv&pd_rd_r=f3359aa8-1458-493b-a36c-c3f2377e8cde,₹889.00,4.1 out of 5 stars,Price and other details may vary based on product size and colour.
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,https://www.amazon.in/s/ref=sxin_17_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=bFiD1&content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5:amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RN01R3J3Q78BAVMAC18B&pd_rd_wg=7J2oF&pd_rd_r=285a5ce8-3740-48a1-84e3-162543b3396c&qid=1692686509,₹699,4.0 out of 5 stars,Amazon’s private and select curated brands
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_17_trfobq2av2_0_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=285a5ce8-3740-48a1-84e3-162543b3396c&pd_rd_w=bFiD1&pd_rd_wg=7J2oF&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RN01R3J3Q78BAVMAC18B&qid=1692686509&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,₹699,4.0 out of 5 stars,377
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_17_trfobq2av2_1_B09SB5DP5Y?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=285a5ce8-3740-48a1-84e3-162543b3396c&pd_rd_w=bFiD1&pd_rd_wg=7J2oF&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RN01R3J3Q78BAVMAC18B&qid=1692686509&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,₹310,4.1 out of 5 stars,74
"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_17_trfobq2av2_2_B0821PYKVK?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=285a5ce8-3740-48a1-84e3-162543b3396c&pd_rd_w=bFiD1&pd_rd_wg=7J2oF&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RN01R3J3Q78BAVMAC18B&qid=1692686509&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a,₹329,4.3 out of 5 stars,"29,983"
Amazon Basics Laptop Backpack,https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_17_trfobq2av2_3_B09W3XLDM2?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=285a5ce8-3740-48a1-84e3-162543b3396c&pd_rd_w=bFiD1&pd_rd_wg=7J2oF&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RN01R3J3Q78BAVMAC18B&qid=1692686509&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a,₹649,4.2 out of 5 stars,504
Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW,https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9/ref=sxin_17_trfobq2av2_4_B08D5RCWV9?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08D5RCWV9&pd_rd_r=285a5ce8-3740-48a1-84e3-162543b3396c&pd_rd_w=bFiD1&pd_rd_wg=7J2oF&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RN01R3J3Q78BAVMAC18B&qid=1692686509&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a,₹298,4.0 out of 5 stars,385
"Amazon Brand - Solimo Diaper Backpack, Cat Print",https://www.amazon.in/Amazon-Brand-Solimo-Diaper-Backpack/dp/B08FTHBRPY/ref=sxin_17_trfobq2av2_5_B08FTHBRPY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08FTHBRPY&pd_rd_r=285a5ce8-3740-48a1-84e3-162543b3396c&pd_rd_w=bFiD1&pd_rd_wg=7J2oF&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RN01R3J3Q78BAVMAC18B&qid=1692686509&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a,"₹1,349",4.0 out of 5 stars,39
Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,https://www.amazon.in/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G/ref=sxin_17_trfobq2av2_6_B0C7HC675G?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C7HC675G&pd_rd_r=285a5ce8-3740-48a1-84e3-162543b3396c&pd_rd_w=bFiD1&pd_rd_wg=7J2oF&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RN01R3J3Q78BAVMAC18B&qid=1692686509&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,₹599,4.5 out of 5 stars,9
Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Koala,https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY/ref=sxin_17_trfobq2av2_7_B097NHH5YY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NHH5YY&pd_rd_r=285a5ce8-3740-48a1-84e3-162543b3396c&pd_rd_w=bFiD1&pd_rd_wg=7J2oF&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RN01R3J3Q78BAVMAC18B&qid=1692686509&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,₹448,4.0 out of 5 stars,81
